29.06.2026 01:47:06 | Fire=0 | Smoke=1
29.06.2026 01:47:06 | Fire=0 | Smoke=1
29.06.2026 01:47:06 | Fire=0 | Smoke=1
29.06.2026 01:47:06 | Fire=0 | Smoke=1
29.06.2026 01:47:06 | Fire=0 | Smoke=1
29.06.2026 01:47:06 | Fire=0 | Smoke=1
29.06.2026 01:47:06 | Fire=0 | Smoke=1
29.06.2026 01:47:06 | Fire=0 | Smoke=1
29.06.2026 01:47:06 | Fire=0 | Smoke=1
29.06.2026 01:47:07 | Fire=0 | Smoke=1
29.06.2026 01:47:07 | Fire=0 | Smoke=1
29.06.2026 01:47:07 | Fire=0 | Smoke=1
29.06.2026 01:47:07 | Fire=0 | Smoke=1
29.06.2026 01:47:07 | Fire=0 | Smoke=1
29.06.2026 01:47:07 | Fire=0 | Smoke=1
29.06.2026 01:47:07 | Fire=0 | Smoke=1
29.06.2026 01:47:07 | Fire=0 | Smoke=1
29.06.2026 01:47:07 | Fire=0 | Smoke=1
29.06.2026 01:47:07 | Fire=0 | Smoke=1
29.06.2026 01:47:08 | Fire=0 | Smoke=1
29.06.2026 01:47:08 | Fire=0 | Smoke=1
29.06.2026 01:47:08 | Fire=0 | Smoke=1
29.06.2026 01:47:08 | Fire=0 | Smoke=1
29.06.2026 01:47:08 | Fire=0 | Smoke=1
29.06.2026 01:47:08 | Fire=0 | Smoke=1
29.06.2026 01:47:08 | Fire=0 | Smoke=1
29.06.2026 01:47:09 | Fire=0 | Smoke=1
29.06.2026 01:47:09 | Fire=0 | Smoke=1
29.06.2026 01:47:09 | Fire=0 | Smoke=1
29.06.2026 01:47:09 | Fire=0 | Smoke=1
29.06.2026 01:47:09 | Fire=0 | Smoke=1
29.06.2026 01:47:09 | Fire=0 | Smoke=1
29.06.2026 01:47:09 | Fire=0 | Smoke=1
29.06.2026 01:47:09 | Fire=0 | Smoke=1
29.06.2026 01:47:09 | Fire=0 | Smoke=1
29.06.2026 01:47:09 | Fire=0 | Smoke=1
29.06.2026 01:47:09 | Fire=0 | Smoke=1
29.06.2026 01:47:09 | Fire=0 | Smoke=1
29.06.2026 01:47:09 | Fire=0 | Smoke=1
29.06.2026 01:47:10 | Fire=0 | Smoke=1
29.06.2026 01:47:10 | Fire=0 | Smoke=1
29.06.2026 01:47:10 | Fire=0 | Smoke=1
29.06.2026 01:47:10 | Fire=0 | Smoke=1
29.06.2026 01:47:10 | Fire=1 | Smoke=1
29.06.2026 01:47:10 | Fire=0 | Smoke=1
29.06.2026 01:47:10 | Fire=0 | Smoke=1
29.06.2026 01:47:10 | Fire=0 | Smoke=1
29.06.2026 01:47:10 | Fire=0 | Smoke=1
29.06.2026 01:47:10 | Fire=0 | Smoke=1
29.06.2026 01:47:10 | Fire=0 | Smoke=1
29.06.2026 01:47:10 | Fire=0 | Smoke=1
29.06.2026 01:47:11 | Fire=0 | Smoke=1
29.06.2026 01:47:11 | Fire=0 | Smoke=1
